from  ; to                          ; link
get_maint_need                      ; get_soonest                           ; 
get_soonest                         ; exists_after_need_before_soonest?     ; success
get_soonest                         ; exit                                  ; failure
exists_after_need_before_soonest?   ; exit                                  ; yes
exists_after_need_before_soonest?   ; exist_after_soonest?                  ; no
exist_after_soonest?                ; try_swap                              ; yes
exist_after_soonest?                ; assign_maint                          ; no
try_swap                            ; del_after_soonest                     ; success
try_swap                            ; exit                                  ; failure
del_after_soonest                   ; assign_maint                          ;            
assign_maint                        ; update_ret/rut                        ;            
update_ret/rut                      ; exit                                  ;  
